상호명,lat,lang
서해광업카페디어스,36.5048155836345,127.232788904529
숟가락젓가락들고위드어썸세종,36.4785732727397,127.289760296315
만랩커피세종정부,36.5076363781158,127.262802505603
카페소풍,36.5974441777719,127.292885934434
이디야갈매점,36.4955769738901,127.262626607711
아리에떼,36.5094612516478,127.216823318245
카페에이치,36.6038733858603,127.298069533884
앙,36.4831850680509,127.259697320945
나우커피세종시,36.4850633154624,127.296051365559
오프플러스커피,36.5930252162754,127.274385293445
태선taeil&sunny,36.5131118319841,127.260707483038
카페소풍커피바비큐,36.480843692465,127.225894176789
미팅125,36.489835567721,127.262524773013
복다방,36.6016180555271,127.299207689932
제하,36.4910061041213,127.299747797758
로비,36.6158120319387,127.288559561282
코세챠커피,36.6004099472178,127.288477464315
카페블랙홀,36.5421943739611,127.335808063045
