이름,lat,lang
델리빈,35.144092407231,126.92525162897
용전803,35.239153514195,126.89631240574
비즈카페J&S,35.146675321515,126.84733331095
무등에너지협동조합,35.129560497965,126.93427507708
티소로다,35.163508989124,126.85164010571
벌크커피화정모아점,35.145122003484,126.87289176562
에쏠로지,35.171092951646,126.9045549784
카흐베하네,35.207670257818,126.87497135627
이디야광주풍암운리점,35.120548449352,126.86594579345
엣따,35.140986853335,126.9146042204
카페온,35.15398852748,126.90998658048
지호로70,35.147544827293,126.93649893535
송이커피,35.145207554959,126.79922210326
레포스카페앤피씨,35.135281122781,126.79174190655
카페바론,35.164888179209,126.7959472442
진심을담다,35.225718409626,126.85220330131
예뿌제뷰티,35.207909792112,126.86394164174
뉴시애틀,35.178335461774,126.89313894713
겟썸,35.181440299208,126.81175422217
씨에스타,35.201441301477,126.78986231611
벌크커피상무,35.148239307697,126.84781608014
제이푸드,35.133638587345,126.87486050856
아미당,35.12945595639,126.79242043893
벌크커피펭귄,35.141088683782,126.91691828812
파스쿠찌광주,35.192804369877,126.83752444709
윤슬,35.173713758872,126.92138192803
김냇과,35.152770002714,126.91583061987
올데이커피,35.185387213428,126.82643109992
카페바이브,35.177228397933,126.90223307988
알토스카페,35.149316370204,126.88391828688
빅카페,35.123060069218,126.88404617874
아따커피,35.150961189378,126.92324071003
뷔에르,35.170203846468,126.88907773497
블루문,35.173853468711,126.82497215663
이디야커피광주상무점,35.152357487117,126.85244434274
라콩연구소,35.181792277678,126.89067670301
카페702,35.106567274059,126.87750324535
벌크커피메디컬,35.218225443579,126.84624571996
지산청과,35.152285709101,126.93644822325
수평선,35.176668305037,126.9171162414
루다커피첨단2지구점,35.208537681306,126.86553634916
메가엠지씨커피광주금호종원점,35.131322909474,126.8547474474
이디야광주수완솔빛점,35.201322865003,126.82543319033
메가엠지씨커피광주남,35.13280342394,126.9017324471
레브무슈,35.144562649796,126.91934142064
투썸플레이스두암타운점,35.16212599785,126.93509078195
까사델커피,35.143698251425,126.9103871691
이지스,35.172106572013,126.85337444532
꽃피는花요일,35.127649818062,126.90797872914
도리스커피,35.14635388413,126.77685103839
부강다방,35.171606029107,126.92155247515
카페휴,35.168631445573,126.81264313204
메가mgc커피광주운암벽산점,35.174603801047,126.87650294399
어쩌다와플,35.149330251754,126.87664192792
댄싱컵광주첨단2지구점,35.207327873824,126.86244515935
벌크커피,35.148640305555,126.92478577546
벌크커피백운,35.135025218846,126.89923374875
팩츄얼,35.142338019991,126.9155080756
티디에이쥐,35.150480090674,126.92794427332
아이씨아이커피,35.141231390061,126.88789134541
카페무슈,35.207342420793,126.86111608676
유달리,35.214341566448,126.85204495519
카페시즌,35.169796433691,126.79733486439
오렌지앤커피,35.161609540335,126.92865440883
리움,35.132908282544,126.90535194388
팬도로시공대점,35.17188602793,126.90055944516
힐링트레이드,35.171894592096,126.90448933752
청년센터카페아카이브,35.177572374923,126.90239313187
티앗,35.150006657523,126.9243617356
태양,35.142652990008,126.88760863893
벌크커피신용점,35.20728683089,126.85904119232
목화당,35.209670798687,126.86525700188
투썸플레이스광주수완점,35.190183045502,126.82091604389
커피플레이스,35.192987752043,126.90258112923
카페나무,35.179123570785,126.91549177197
청년DB운남점,35.174858657558,126.81896372119
온다방,35.159893673295,126.84776151551
메가엠지씨커피광주송정,35.134727741839,126.79773011718
세틀드던,35.186281870589,126.90761212082
그리니,35.193342508852,126.82417551177
메카,35.152956951107,126.91154783386
컴포즈커피비아,35.21983547307,126.81786214605
카페쳐진월,35.124491236024,126.89662170175
공차광주,35.172133688032,126.90501306033
마들렌,35.195684792617,126.81479712517
야단법석,35.206102749263,126.87022668487
빽다방조선대,35.146491074335,126.92841361257
꽃달다,35.15135423104,126.79461019456
코람데오,35.120209877298,126.89863222622
플립커피,35.130096232012,126.89248644028
두미엘,35.180829481677,126.83892460741
라올라컴퍼니,35.14547690763,126.84548462007
고양이숲갤러리,35.139479313829,126.91335132535
빛이그리다,35.179025608704,126.87122726722
반하다,35.139907209949,126.85794116548
이디야,35.194650079386,126.81498784442
피플스38,35.157295564566,126.86088112935
마실,35.147374710932,126.88645792605
카페괜찮다,35.18097108563,126.80895048479
알지,35.192420130012,126.84635812929
플레르,35.152103799424,126.88807267106
카페유달리첨단대라수점,35.221532687113,126.85090018864
씨아이씨,35.120759208709,126.87988672122
솔루아,35.185462100997,126.83793644458
럭키세븐,35.173675085586,126.91402722358
그린그린해,35.138261995005,126.79599928277
미드픽,35.147786053714,126.85706288958
온더힐,35.196143488273,126.86936533797
밤비노,35.169947639589,126.8614840895
낭만공작소,35.149979275175,126.92330851936
캡틴커피,35.194679972222,126.83854088986
코피발리,35.1078363484,126.88413308702
더치스토리카페LH점,35.156480349284,126.85091572446
숨,35.132450905597,126.90660891676
일루이스,35.222441965021,126.85173317081
플레이스63,35.175691738731,126.91274888986
토시코시커피,35.176275353764,126.91349862018
삼육오DAYS,35.16194279145,126.87979435329
더벤티광주충장로점,35.148545239554,126.91613907323
파반커피,35.13982924978,126.89522964281
카페일루이스,35.182196350294,126.93161216886
카페리케,35.138933422326,126.79281816897
카페드롭탑광주,35.135208537191,126.7971305279
카페인충전소,35.133791549136,126.79151154852
라이프필,35.168611522544,126.83566246836
놀숲광주,35.19001225641,126.82467367462
개밥주는여자,35.203574777373,126.8271358961
청자다방삼각점,35.196304236517,126.90052701029
달카페,35.188863756532,126.90206562512
앨리,35.149395826756,126.9276512034
더벤티,35.12564411515,126.87884338454
메가엠지씨커피광주진곡,35.200877472272,126.79026601142
시티매니저,35.156737213012,126.85233893683
