상호명,lat,lang
홍콩다방동탄삼성반도체점,37.2181983755308,127.07786270227
아쿠아가든카페,37.841001003388,127.092193277153
커피스미스드래프트동탄,37.2036609172109,127.125026986397
트레이더스스무디킹,37.6124655148952,126.730832284645
컴포즈커피일산가로수길점,37.6660508902834,126.756420267321
카페엉클D카페엉클디,37.3552816093069,126.935215046261
E4커피하우스이포,37.4026734106432,127.546433177944
은하초코,37.1501943927817,127.075863509945
토마토,36.9877606807876,126.9292500963
작심스페이스찰리황,37.4003102940944,126.930489650749
카페리베,37.5045550267103,126.786169038954
아이다인터내셔널,37.3043841628813,126.761566437663
카페미앤미,37.7390929120612,127.039489484916
라플레즈,37.4650253220614,127.141592037896
구움제이,37.308151100994,126.831613186325
토프레소평택지산점,37.0817683154362,127.060397625986
우트커피앤샵,37.2816911788386,127.018663336455
메가엠지씨커피남양주,37.6550830422164,127.244093480053
쥬씨수원,37.2743159042351,126.952942951541
나우커피시흥,37.4385680265863,126.784919204843
커피토스타,37.6303597945855,126.871858369698
성남빽다방,37.4483574574941,127.12709007906
엔젤스푼,37.736682977798,127.035663151327
행,37.2854946080269,127.012264786678
으니버셜,37.2915337849094,127.015738495443
보노보노,37.3967249965052,127.110036552411
임대,37.7554780915346,126.908579133798
카페더치즈케,37.3905122596017,126.952243709995
만랩커피,37.7282849070636,126.759997225664
아미스카페4호,37.3592111291507,126.919412333722
로라커피,37.6517199521686,126.778371986054
현쓰커피,37.4438040833378,126.785015343619
에이그레이트,37.5991338788457,127.135988086413
에스디벨롭먼트,37.4412947714598,127.15082475172
카페673,37.8961966764251,127.047741420243
메가엠지씨커피김포청송점,37.6516821421262,126.670716297074
메가엠지씨커피수원탑동,37.2691160408241,126.975530899051
카페행복하이,37.2782757852217,127.441078865091
숨맑은집,37.3908171755076,126.953097740068
비카페,37.0074960723916,127.268880533322
공차,37.8581352458261,126.785018620737
걷다가봄,37.5039503335145,126.75064308187
엔제리너스야탑역점,37.4110469981221,127.12870930969
메가커피수원,37.3096163177668,126.984547861127
미네509,37.591344914447,127.141626644052
이디야커피수지동천,37.3333316515844,127.095471752592
달리는커피포천신읍점,37.8946810713149,127.197364518984
카페5번지,37.4840166135956,126.816883172821
프룻제이,37.2280578405055,127.072277258763
카페리오리코,37.601543729593,126.816530554054
보통의커피,37.4376609819907,126.880091123681
요아정안양,37.4072756673577,126.954687345515
카페아리,37.8245521377816,127.155664507135
엘블라썸198,37.7669168069689,127.168737351389
셀렉토커피분당샛별,37.3729430257813,127.127840513292
타코야캔카페,37.7185157587139,127.181925732976
포트캔커피,37.3726614195298,126.795997535088
할리스커피,37.2614579440007,127.034641588643
데이롱카페안양,37.3786253294803,126.960200067363
소마드로잉카페,37.7353393201516,126.764247407436
정오의커피,37.4473744145169,126.802000134493
색동다방,37.2799891349221,127.447099314762
91COFFEE,37.2801976673381,127.014600604378
나봄,37.9089868229192,127.048361256316
마이도터스,37.3970028163179,126.961764562827
더온카페,37.1808076751041,127.562505211548
피크닉,37.324620148506,126.67892555696
컴포즈커피,37.274844649102,126.953634723239
허스,37.4455725542411,126.786128158582
커피에브리데이,37.1953842111486,126.998177312589
올리브,37.3837873457673,127.12476767022
컴포즈커피일산중산,37.6934890417784,126.780816459627
꿀레,37.3576177000047,127.053109226837
아크,37.3035105843499,127.469296150218
반달커피광주,37.3719348564893,127.297163961564
리나커피,37.3006875274377,127.071329492633
백단,37.2254344315942,127.450720673226
블루브루,37.7440487879491,127.094150335223
카페향기,37.3056530779929,126.902942950242
