이름,lat,long
몸필라테스,126.89076072782,35.182072476193
라푼젤,126.83876978085,35.19094145434
에스클리닝,126.81135453769,35.171187732071
메디팜서정약국,126.85120371806,35.150047201099
통큰돼지,126.80390235883,35.177829621493
바른공인중개사사무소,126.89606521313,35.1348341464
하나축산도매센타,126.82450858427,35.179365400525
모다,126.91122195103,35.128805738856
헤어샵,126.85825562437,35.146463248463
신나고,126.85024795027,35.147775660942
한독모터스광주평동서비스센터,126.77102020844,35.122498517504
국민다안전교육협회호남지역본부,126.81529454346,35.190164237139
자이언트투어,126.8174617414,35.189878951547
포비스스포츠클럽,126.84981927927,35.113491853621
슈퍼마켓자연숲주월점,126.89165652742,35.136281200051
천만숯불구이,126.81189533632,35.191356804388
황궁당구클럽,126.85879752467,35.134371749025
